artist,avg_pop,avg_duration,avg_temp,avg_energy,avg_danceability,avg_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,rating_np,rating_ps,rating_pk,rating_hi,rating_svm
Easy Money,23,114964,134.61,0.98,0.36,-3.35,0.19,0.27,0,0.15,0.26,,,,,
Easy Star All-Stars,24,280852,128.88,0.69,0.69,-7.37,0.06,0.18,0.12,0.26,0.68,,,,,
Eat Your Heart Out,34,211117,145.64,0.98,0.4,-3.54,0.08,0,0,0.18,0.4,,,,,
EATMEWHILEIMHOT!,22,140147,141.61,0.8,0.44,-9.09,0.1,0.08,0.01,0.27,0.35,,,,,
Eats Everything,31,316712,127.41,0.82,0.79,-6.7,0.1,0.38,0,0.19,0.48,,,,,
Eazy Mac,46,157112,105.51,0.61,0.75,-8.59,0.2,0,0.34,0.18,0.4,,,,,
Eazy-E,33,268280,105.23,0.76,0.82,-5.82,0.24,0,0.04,0.25,0.66,,,,,
Ebba Forsberg,22,354700,119.38,0.37,0.5,-10.05,0.03,0.02,0.46,0.13,0.15,,,,,
Ebende,28,264148,141.93,0.51,0.73,-11.61,0.06,0.81,0.06,0.21,0.4,,,,,
Ebony,27,202872,117.62,0.69,0.77,-5.66,0.11,0,0.17,0.21,0.79,,,,,
Ebony Rhythm Band,16,173227,172.38,0.86,0.36,-7.43,0.13,0.88,0.23,0.34,0.83,,,,,
Ecco2k,53,186474,133.76,0.64,0.64,-8.13,0.09,0.27,0.4,0.13,0.5,,,,,
Eccodek,30,327500,98.84,0.57,0.65,-10.96,0.06,0.29,0.66,0.1,0.55,,,,,
Echo & the Bunnymen,25,255274,113.35,0.72,0.51,-7.26,0.03,0.07,0.11,0.24,0.54,,,,,
Echo Ark,26,185384,77.83,0.17,0.45,-15.7,0.07,0.86,0.89,0.11,0.15,,,,,
Echo Grid,24,381892,93.41,0.15,0.19,-24.06,0.04,0.9,0.87,0.12,0.09,,,,,
Echoes Of Eternity,25,221301,118.96,0.78,0.45,-7.14,0.04,0.27,0,0.37,0.51,,,,,
Echos,45,245239,109.8,0.49,0.55,-8.68,0.03,0,0.16,0.13,0.21,,,,,
Echosmith,41,228061,120.27,0.61,0.59,-7.18,0.04,0,0.23,0.15,0.43,,,,,
Eclipse,30,230162,124.47,0.95,0.49,-5.41,0.07,0.02,0,0.19,0.41,,,,,
E-Craft,17,257080,135.01,1,0.6,-4.69,0.08,0,0.09,0.15,0.23,,,,,
Ecraze,23,199579,106.6,0.89,0.59,-1.24,0.15,0.13,0,0.19,0.16,,,,,
Ecstatic,28,197463,151.55,0.86,0.39,-4.84,0.08,0.02,0.16,0.24,0.26,,,,,
Ecstatic Vision,28,154608,100.62,0.79,0.29,-6.82,0.05,0.89,0.04,0.18,0.44,,,,,
Ed Bickert,21,290367,79.85,0.04,0.43,-34.57,0.04,0.92,0.99,0.69,0.45,,,,,
Ed Bruce,28,219819,110.31,0.37,0.53,-12.54,0.03,0.01,0.48,0.14,0.51,,,,,
Ed Gein,17,134400,80.25,0.95,0.28,-3.82,0.27,0,0,0.19,0.1,,,,,
Ed Motta,36,264667,97.66,0.5,0.61,-11.54,0.05,0.01,0.48,0.1,0.65,,,,,
Ed Rush,25,404031,156.38,0.81,0.65,-6.53,0.15,0.61,0.06,0.32,0.35,,,,,
Ed Sheeran,65,227204,107.94,0.54,0.67,-7.44,0.07,0,0.4,0.17,0.53,,,,,
Ed Solo,24,262119,144.74,0.9,0.68,-3.96,0.06,0.24,0.01,0.13,0.64,,,,,
Edan,29,144019,98.82,0.87,0.6,-7.09,0.21,0,0.31,0.37,0.59,,,,,
edbl,47,204536,114.58,0.51,0.74,-7.03,0.15,0.17,0.67,0.15,0.61,,,,,
Eddi Reader,21,301418,126.54,0.55,0.49,-9.2,0.04,0.05,0.48,0.15,0.56,,,,,
EDDIE,25,253621,130.43,0.75,0.6,-7.34,0.08,0.48,0.08,0.22,0.18,,,,,
Eddie & The Hot Rods,25,194781,149.69,0.88,0.42,-8.59,0.08,0.23,0,0.14,0.77,,,,,
Eddie Amador,29,286080,125.99,0.78,0.81,-8.29,0.17,0.53,0.04,0.11,0.7,,,,,
Eddie Benjamin,55,171537,81.87,0.55,0.66,-7.16,0.09,0,0.11,0.18,0.7,,,,,
Eddie Bo,19,144287,108.95,0.45,0.7,-12.27,0.04,0.07,0.55,0.09,0.75,,,,,
Eddie Bond,22,112229,99.48,0.73,0.67,-7.23,0.04,0,0.53,0.18,0.8,,,,,
Eddie Boyd,24,203420,113.84,0.51,0.66,-9.56,0.05,0.04,0.81,0.13,0.66,,,,,
Eddie Burns,24,287547,185.91,0.34,0.59,-10.76,0.12,0.07,0.6,0.18,0.59,,,,,
Eddie C,24,270025,111.42,0.67,0.79,-8.96,0.06,0.79,0.15,0.11,0.75,,,,,
Eddie Cochran,31,131207,119.51,0.64,0.62,-9.15,0.04,0,0.32,0.15,0.82,,,,,
Eddie Dee,48,234628,95.9,0.82,0.73,-4.97,0.11,0.03,0.22,0.19,0.72,,,,,
