artist,avg_pop,avg_duration,avg_temp,avg_energy,avg_danceability,avg_loudness,avg_speechiness,avg_instrumentalness,avg_acousticness,avg_liveness,avg_valence,rating_np,rating_ps,rating_pk,rating_hi,rating_svm
Inkubus Sukkubus,21,258813,136.3,0.62,0.48,-7.67,0.04,0.08,0.09,0.16,0.33,,,,,
Inland Knights,16,373920,124.99,0.54,0.88,-12.42,0.08,0.88,0,0.1,0.7,,,,,
INNA,44,201296,125.23,0.83,0.77,-4.97,0.1,0.13,0.12,0.23,0.71,,,,,
Innellea,44,358818,121.98,0.83,0.69,-7.2,0.05,0.83,0.03,0.11,0.1,,,,,
Inner City,27,243062,123.45,0.84,0.66,-8.1,0.05,0.28,0.03,0.16,0.68,,,,,
Inner Wave,32,205760,116.29,0.67,0.54,-6.8,0.04,0.49,0.28,0.19,0.57,,,,,
Innerpartysystem,23,268977,134.28,0.81,0.56,-4.93,0.09,0.05,0,0.18,0.47,,,,,
Innumerable Forms,19,288728,150.55,0.99,0.14,-5.1,0.14,0.93,0,0.23,0.04,,,,,
Inocentes,32,211791,153.87,0.85,0.53,-5.02,0.07,0,0.01,0.12,0.5,,,,,
INOYAMALAND,26,217437,99.83,0.12,0.43,-20.76,0.05,0.52,0.74,0.1,0.25,,,,,
Inpetto,29,188579,124.98,0.87,0.63,-4.42,0.07,0.1,0.08,0.31,0.44,,,,,
In-Phase,23,174875,150.05,0.96,0.52,-4.73,0.05,0.25,0.02,0.42,0.28,,,,,
Inpulsa,31,176892,155.73,0.92,0.5,-2.56,0.17,0,0.03,0.76,0.33,,,,,
Inquisition,18,319184,129.11,0.93,0.24,-6.12,0.11,0.78,0,0.21,0.09,,,,,
Insan3lik3,25,275635,123.14,0.63,0.75,-6.84,0.07,0.25,0.02,0.18,0.39,,,,,
Insect Warfare,26,73462,130.73,1,0.22,-4.97,0.15,0.03,0,0.27,0.04,,,,,
InsideInfo,24,281619,172.93,0.88,0.57,-2.49,0.16,0.57,0.02,0.2,0.27,,,,,
Insignificant Other,28,163297,133.5,0.69,0.41,-8.35,0.06,0.1,0.12,0.19,0.5,,,,,
IN-SIST,18,242760,96.06,0.67,0.79,-7.94,0.13,0,0.6,0.11,0.8,,,,,
INSITE,34,224905,125.24,0.92,0.39,-5.18,0.08,0.01,0.01,0.2,0.3,,,,,
Insomnium,29,343422,131.46,0.89,0.35,-6.25,0.08,0.52,0.01,0.22,0.2,,,,,
Inspectah Deck,25,213998,115.64,0.86,0.58,-3.02,0.31,0,0.09,0.24,0.63,,,,,
Inspector,50,225085,146.07,0.78,0.62,-4.63,0.05,0,0.23,0.14,0.84,,,,,
Insult,18,89490,105.44,0.97,0.29,-6.53,0.2,0.12,0,0.42,0.24,,,,,
Integrity,23,131687,143.08,0.97,0.26,-5.68,0.14,0.15,0,0.26,0.19,,,,,
Intence,25,165648,106.83,0.69,0.72,-5.72,0.27,0,0.25,0.15,0.54,,,,,
Inter Arma,22,331222,141.12,0.65,0.25,-8.35,0.06,0.77,0,0.4,0.15,,,,,
Interactive,23,255795,143.94,0.88,0.63,-9.36,0.04,0.46,0.04,0.21,0.66,,,,,
Internal Rot,20,71729,116.41,0.98,0.17,-4.99,0.14,0.8,0,0.32,0.11,,,,,
Internet Friends,17,175393,159.5,0.76,0.51,-7.4,0.04,0.11,0.01,0.38,0.63,,,,,
Internet Money,65,190103,127.84,0.61,0.75,-6.66,0.16,0,0.17,0.12,0.42,,,,,
Interpol,42,260883,120.5,0.84,0.4,-5.48,0.04,0.56,0.04,0.21,0.4,,,,,
Interpuesto,49,205779,146.31,0.7,0.58,-8.03,0.05,0.02,0.08,0.1,0.71,,,,,
Interstate,28,381342,122.32,0.71,0.79,-8.74,0.05,0.86,0,0.17,0.57,,,,,
Intestine Baalism,20,236973,112.47,0.98,0.45,-7.39,0.2,0.87,0,0.1,0.07,,,,,
Intig,23,340371,114.83,0.47,0.35,-10.44,0.04,0.88,0.34,0.1,0.11,,,,,
Into Eternity,18,246568,117.36,0.96,0.33,-5.02,0.11,0.01,0,0.16,0.29,,,,,
Into It. Over It.,25,180687,136.13,0.77,0.5,-7.14,0.06,0.13,0.26,0.16,0.43,,,,,
Into The Pale Abyss,24,256651,102.19,0.78,0.54,-6.25,0.05,0.67,0.01,0.23,0.27,,,,,
Intocable,52,226278,142.6,0.6,0.57,-7.96,0.07,0,0.33,0.16,0.72,,,,,
INTRN,43,174613,115.2,0.23,0.57,-13.62,0.08,0,0.82,0.14,0.41,,,,,
Intrusion,24,494117,113.73,0.43,0.68,-17.83,0.05,0.84,0.2,0.24,0.37,,,,,
Invalids,24,323106,111.94,0.87,0.42,-6.23,0.06,0,0.04,0.11,0.52,,,,,
Invector,20,195263,155,0.94,0.54,-3.35,0.16,0,0.01,0.6,0.39,,,,,
Invent Animate,31,238693,124.06,0.93,0.42,-4.51,0.11,0.25,0,0.23,0.17,,,,,
invention_,37,153836,90.44,0.42,0.59,-10.32,0.07,0.55,0.33,0.22,0.35,,,,,
Inveracity,21,156027,107.78,0.99,0.4,-6.38,0.16,0.91,0,0.16,0.17,,,,,
inverness,44,188069,114.6,0.74,0.72,-4.36,0.06,0,0.22,0.22,0.64,,,,,
InVisions,29,230536,141.91,0.94,0.4,-4.37,0.12,0.02,0,0.3,0.25,,,,,
Invoke,20,136679,107.62,0.99,0.29,-3.62,0.22,0.66,0,0.19,0.25,,,,,
Inward Universe,23,229594,115.2,0.77,0.65,-7.45,0.04,0.4,0.03,0.32,0.39,,,,,
INXS,21,229263,126.73,0.77,0.6,-6.46,0.06,0.15,0.03,0.21,0.52,,,,,
INZO,40,232805,137.63,0.74,0.54,-5.55,0.15,0.15,0.06,0.18,0.24,,,,,
I-Octane,24,192419,106.78,0.72,0.69,-5.29,0.18,0,0.21,0.18,0.69,,,,,
Ion Dissonance,22,192694,129.46,0.96,0.51,-5.63,0.12,0.71,0,0.2,0.26,,,,,
ION LIL GUT,39,142297,120.76,0.54,0.74,-9.51,0.12,0,0.21,0.14,0.32,,,,,
ionnalee,22,273828,115.28,0.61,0.58,-8.77,0.05,0.02,0.05,0.18,0.21,,,,,
IQ,29,185556,116.22,0.64,0.62,-6.67,0.23,0.01,0.25,0.2,0.56,,,,,
Ira Stein,21,283482,126.87,0.14,0.38,-17.16,0.04,0.82,0.93,0.08,0.13,,,,,
Irakere,24,423582,114.6,0.71,0.51,-11.12,0.06,0.64,0.29,0.44,0.78,,,,,
Iration,43,235310,131.19,0.66,0.74,-6.31,0.05,0.01,0.06,0.13,0.76,,,,,
Ireen Sheer,21,194854,127.03,0.94,0.71,-5.48,0.04,0,0.08,0.12,0.87,,,,,
Irene Cara,54,244104,129.22,0.72,0.59,-6.61,0.04,0.06,0.23,0.16,0.67,,,,,
Iris,18,232427,122.04,0.97,0.55,-6.34,0.04,0,0.01,0.16,0.79,,,,,
Iris DeMent,28,242835,113.03,0.31,0.54,-11.36,0.03,0.01,0.76,0.13,0.48,,,,,
Irish Stew of Sindidun,24,224920,135.01,0.87,0.52,-4.76,0.04,0.45,0.1,0.32,0.46,,,,,
Irma Thomas,27,167075,113.42,0.43,0.63,-10.58,0.05,0.05,0.46,0.2,0.55,,,,,
Irmão Lázaro,40,291731,121.07,0.59,0.5,-7.51,0.08,0,0.57,0.5,0.39,,,,,
Iron & Wine,35,280716,124.28,0.33,0.62,-11.46,0.04,0.26,0.78,0.13,0.58,,,,,
Iron Age,18,320712,144.43,0.94,0.32,-3.76,0.11,0.04,0,0.07,0.45,,,,,
Iron Butterfly,42,223748,118.72,0.62,0.5,-9.25,0.03,0.01,0,0.18,0.71,,,,,
Iron Chic,25,205589,157.51,0.97,0.29,-6.4,0.1,0.1,0,0.36,0.31,,,,,
Iron Claw,17,349467,106.74,0.63,0.28,-12.07,0.06,0.38,0.13,0.27,0.35,,,,,
Iron Curtis,36,238155,112.49,0.52,0.8,-9.07,0.21,0.37,0.06,0.24,0.57,,,,,
Iron Lung,19,76495,134.32,0.93,0.24,-6.58,0.21,0.69,0,0.36,0.11,,,,,
Iron Maiden,32,408879,122.32,0.91,0.29,-5.51,0.09,0.03,0.02,0.19,0.35,8,,,,9
Iron Reagan,31,98711,132.81,0.94,0.29,-5.05,0.13,0.1,0,0.32,0.45,,,,,
IRONTOM,41,202024,153.74,0.85,0.5,-3.61,0.05,0,0.06,0.17,0.74,,,,,
I-Roy,22,194776,85.61,0.75,0.68,-6.45,0.2,0,0.18,0.26,0.54,,,,,
Irreversible Mechanism,18,387375,120,0.79,0.44,-6.35,0.04,0.71,0,0.35,0.19,,,,,
Irving Force,25,304250,107.92,0.81,0.54,-8.71,0.06,0.66,0.01,0.37,0.35,,,,,
ISA,27,178467,111.88,0.55,0.71,-7.36,0.14,0,0.13,0.16,0.42,,,,,
Isaac Carree,23,287969,108.71,0.6,0.55,-6.59,0.1,0,0.3,0.15,0.46,,,,,
Isaac Dunbar,54,191296,106.99,0.56,0.73,-7.11,0.09,0.12,0.26,0.24,0.55,,,,,
Isaac Elton,27,219516,123.01,0.81,0.74,-8.33,0.04,0.15,0.02,0.31,0.57,,,,,
Isaac Hayes,24,411792,133.3,0.54,0.53,-12.41,0.05,0.21,0.27,0.16,0.62,,,,,
Isaac M,38,212539,129.54,0.59,0.66,-6.81,0.08,0,0.57,0.14,0.69,,,,,
Isabel Davis,24,339427,113.28,0.62,0.36,-5.96,0.05,0,0.44,0.13,0.29,,,,,
Isabel LaRosa,75,132803,120.43,0.73,0.44,-7.37,0.12,0,0.14,0.5,0.54,,,,,
Isabel Pless,35,171311,127.11,0.32,0.56,-11.8,0.05,0,0.79,0.14,0.39,,,,,
Isabella Lundgren,26,229224,91.47,0.15,0.48,-13.93,0.04,0.06,0.86,0.13,0.26,,,,,
Isadora Pompeo,46,253789,136.23,0.51,0.57,-7.68,0.05,0,0.35,0.33,0.32,,,,,
Isaia Huron,40,169869,107.25,0.42,0.57,-8.56,0.05,0.01,0.4,0.22,0.33,,,,,
Isaiah D. Thomas & Elements of Praise,25,304347,120.07,0.76,0.56,-6.99,0.1,0,0.27,0.54,0.49,,,,,
Isaiah Rashad,50,212440,117.48,0.65,0.71,-7.31,0.25,0.01,0.25,0.29,0.57,,,,,
Isaiah Templeton,22,218996,102,0.57,0.44,-9.99,0.06,0,0.08,0.21,0.33,,,,,
Isaias Saad,51,388080,130.08,0.54,0.41,-8.01,0.04,0,0.28,0.2,0.15,,,,,
Iyanya,32,200122,113.7,0.74,0.71,-4.81,0.11,0.01,0.36,0.16,0.78,,,,,
Iyaz,54,199917,104.98,0.73,0.71,-4.87,0.05,0,0.14,0.25,0.54,,,,,
iyla,46,183395,109.02,0.58,0.6,-5.4,0.12,0,0.26,0.13,0.37,,,,,
IYRE,32,290005,86.33,0.73,0.56,-6.3,0.04,0.91,0.01,0.11,0.22,,,,,
Izo FitzRoy,40,258802,110.24,0.66,0.67,-7.77,0.09,0.03,0.24,0.13,0.69,,,,,
Izzamuzzic,54,274898,105.56,0.56,0.6,-10.56,0.08,0.51,0.32,0.17,0.3,,,,,
Izzy Bizu,46,174306,111.23,0.63,0.79,-6.55,0.07,0.03,0.13,0.19,0.49,,,,,
Izzy Vadim,29,186240,132.07,0.92,0.62,-1.83,0.37,0.58,0.03,0.23,0.24,,,,,
J Alvarez,61,259832,133.49,0.71,0.72,-5.77,0.07,0,0.25,0.21,0.75,,,,,
J Balvin,68,202316,119.72,0.74,0.74,-5.02,0.14,0,0.07,0.13,0.69,,,,,
J Boog,43,217989,110.71,0.55,0.87,-5.61,0.12,0,0.04,0.14,0.82,,,,,
J Capri,41,166694,103.78,0.69,0.72,-5.91,0.27,0,0.31,0.14,0.59,,,,,
J Dilla,41,120564,122.37,0.71,0.52,-7.17,0.28,0.25,0.2,0.36,0.57,,,,,
J Lloyd,47,107427,106.02,0.59,0.68,-8.33,0.07,0.38,0.6,0.19,0.59,,,,,
J Majik,30,349720,86.88,0.94,0.27,-1.76,0.08,0,0,0.16,0.3,,,,,
J Moss,22,236677,117.69,0.72,0.55,-5.09,0.13,0,0.28,0.23,0.52,,,,,
J Neto,38,276881,108.5,0.33,0.33,-9.95,0.03,0,0.78,0.17,0.35,,,,,
J. B. Hutto,22,211561,133.02,0.49,0.63,-10.98,0.09,0.16,0.45,0.16,0.66,,,,,
J. Blackfoot,25,314539,121.68,0.56,0.58,-7.06,0.05,0,0.32,0.21,0.5,,,,,
J. Cole,61,238622,108.58,0.63,0.67,-7.95,0.28,0,0.27,0.21,0.42,,,,,
J. Damur,30,340174,115.01,0.72,0.61,-9.47,0.03,0.33,0.08,0.2,0.21,,,,,
J. Holiday,44,237455,109.91,0.55,0.61,-7.45,0.13,0,0.33,0.17,0.34,,,,,
J. Martins,28,233210,115.87,0.82,0.79,-4.56,0.12,0,0.28,0.16,0.83,,,,,
J. Paul Jr And The Zydeco Nubreeds,21,209355,136.08,0.73,0.76,-5.22,0.08,0.01,0.08,0.19,0.95,,,,,
J. Rawls,32,149968,115.21,0.57,0.78,-8.09,0.17,0.29,0.11,0.23,0.58,,,,,
J. Red (The Nephew),23,283742,112.98,0.71,0.71,-4.52,0.08,0,0.39,0.15,0.73,,,,,
J. Roddy Walston & The Business,24,226862,123.45,0.87,0.52,-4.6,0.08,0.01,0.29,0.19,0.61,,,,,
J. Worra,33,203901,124.42,0.81,0.79,-7.15,0.06,0.54,0.03,0.12,0.66,,,,,
J.B. Mpiana,20,424413,114.73,0.86,0.65,-5.93,0.13,0,0.27,0.18,0.77,,,,,
J.C. Lodge,23,273208,129.3,0.6,0.66,-7.17,0.05,0.13,0.22,0.16,0.75,,,,,
J.D. Crowe & The New South,24,185211,129.78,0.46,0.57,-11.64,0.03,0.16,0.67,0.16,0.76,,,,,
J.D. Simo,26,286893,124.99,0.78,0.48,-7.61,0.08,0.5,0.06,0.18,0.62,,,,,
J.J. Cale,30,200448,121.21,0.42,0.67,-13.16,0.04,0.25,0.66,0.25,0.64,,,,,
J.Views,26,235361,128.31,0.68,0.53,-7.98,0.06,0.29,0.27,0.23,0.24,,,,,
J:Kenzo,23,292592,139.8,0.63,0.72,-6.44,0.07,0.63,0.01,0.19,0.23,,,,,
J2,23,239905,100.62,0.65,0.33,-7.7,0.07,0.04,0.18,0.12,0.17,,,,,
Ja Rule,33,261781,105.66,0.74,0.69,-5.11,0.25,0,0.11,0.2,0.56,,,,,
Jabari Johnson,21,267845,117.78,0.55,0.46,-9.8,0.09,0,0.44,0.28,0.43,,,,,
Jacaszek,27,320656,72.91,0.26,0.33,-13.79,0.04,0.79,0.57,0.13,0.09,,,,,
Jacco Gardner,24,178084,132.59,0.67,0.54,-8.29,0.03,0.51,0.26,0.16,0.56,,,,,
Jace Everett,26,181511,122.15,0.66,0.6,-7.44,0.05,0,0.37,0.21,0.63,,,,,
Jacek Stachursky,27,247739,131.22,0.85,0.68,-4.57,0.04,0.07,0.09,0.2,0.56,,,,,
Jacidorex,33,370191,144.57,0.95,0.66,-8.05,0.09,0.87,0.01,0.23,0.18,,,,,
Jack & Jack,46,193493,101.6,0.68,0.72,-6.5,0.1,0,0.32,0.31,0.55,,,,,
Jack Back,31,217542,124.34,0.81,0.7,-6.67,0.06,0.42,0.03,0.19,0.34,,,,,
Jack Baymoore & The Bandits,25,126258,149.72,0.88,0.54,-5.01,0.08,0,0.82,0.27,0.87,,,,,
Jack Broadbent,28,291079,114.79,0.42,0.56,-10.93,0.06,0.14,0.59,0.12,0.4,,,,,
Jack Gelee,27,179515,137.32,0.99,0.66,-2.33,0.08,0,0.02,0.29,0.94,,,,,
Jack Greene,31,155887,105.12,0.28,0.48,-13.06,0.03,0,0.8,0.19,0.38,,,,,
Jack Harlow,58,169892,117.55,0.58,0.82,-7.2,0.18,0,0.14,0.16,0.57,,,,7,
Jack Hartmann,21,163831,123.36,0.74,0.84,-5.47,0.13,0,0.22,0.21,0.78,,,,,
Jack Hylton & His Orchestra,35,193720,177.69,0.23,0.48,-11.08,0.11,0.02,0.99,0.19,0.75,,,,,
Jack Ingram,36,192969,113.84,0.48,0.56,-9.19,0.05,0,0.51,0.25,0.45,,,,,
Jack Kays,47,151211,116.36,0.47,0.68,-8.37,0.11,0,0.5,0.16,0.47,,,,,
Jack Ladder,24,355579,103.91,0.57,0.6,-8.45,0.03,0.4,0.29,0.14,0.58,,,,,
Jack McDuff,23,306976,121.52,0.64,0.51,-10.14,0.05,0.54,0.28,0.16,0.6,,,,,
Jack Off Jill,34,195602,151.95,0.92,0.47,-4.34,0.11,0.26,0,0.23,0.52,,,,,
Jack Radics,30,235932,111.5,0.81,0.83,-8.61,0.06,0.01,0.04,0.07,0.9,,,,,
Jack Scott,21,148829,117.06,0.52,0.6,-12.52,0.03,0,0.71,0.19,0.69,,,,,
Jack Sparrow,28,350101,131.25,0.58,0.72,-10.36,0.07,0.62,0.01,0.15,0.36,,,,,
Jack Stauber's Micropop,51,149393,129.93,0.59,0.6,-8.55,0.14,0.16,0.61,0.23,0.54,,,,,6
Jack Ü,44,230361,141.05,0.9,0.64,-2.88,0.19,0.06,0.05,0.23,0.37,,,,,
Jack White,32,205903,123.09,0.57,0.5,-10.01,0.1,0.07,0.34,0.16,0.48,,,,,6
Jack Wins,31,179912,124.76,0.9,0.62,-5.13,0.1,0.14,0.03,0.32,0.42,,,,,
Jackal,26,212714,132.24,0.74,0.67,-6.17,0.16,0.29,0.04,0.14,0.27,,,,,
Jackie Child,25,175930,97.68,0.05,0.42,-22.38,0.05,0.87,0.99,0.12,0.28,,,,,
Jackie Evancho,23,246651,107.98,0.33,0.3,-10.03,0.04,0.02,0.86,0.12,0.14,,,,,
JACKIE EXTREME,21,196828,125.28,0.61,0.62,-8.34,0.08,0.14,0.05,0.19,0.35,,,,,
Jackie Greene,40,235605,110.06,0.72,0.49,-5.33,0.03,0,0.16,0.09,0.63,,,,,
Jackie Legere,27,174502,126.46,0.48,0.59,-8.55,0.08,0,0.48,0.12,0.43,,,,,
Jackie Mittoo,27,253303,111.85,0.58,0.76,-8.2,0.09,0.76,0.17,0.12,0.83,,,,,
Jackie Moore,23,431107,121.07,0.58,0.8,-11.19,0.05,0,0.04,0.13,0.79,,,,,
Jackie Neal,24,251992,124.49,0.45,0.76,-8.02,0.07,0,0.21,0.1,0.73,,,,,
Jackie Venson,24,253613,115.98,0.52,0.67,-6.6,0.04,0.04,0.26,0.13,0.55,,,,,
Jackie Wilson,40,176071,101.44,0.64,0.63,-7.31,0.06,0,0.57,0.28,0.83,,,,,
jackLNDN,24,240468,118.55,0.67,0.68,-9.22,0.05,0.48,0.22,0.14,0.2,,,,,
Jackro,30,175941,160.02,0.95,0.57,-2.6,0.08,0,0.01,0.37,0.38,,,,,
Jackson Browne,27,295785,118.1,0.52,0.56,-9.77,0.03,0,0.37,0.19,0.5,,,,,
Jackson Chery,20,332468,122.57,0.58,0.46,-8.97,0.06,0,0.39,0.35,0.48,,,,,
Jackson Chery & Bridging The Gap,19,284026,121.11,0.42,0.4,-9.42,0.04,0,0.58,0.21,0.26,,,,,
Jackson Lundy,42,187767,109.13,0.43,0.68,-10.85,0.12,0.1,0.62,0.11,0.3,,,,,
Jackson Taylor & the Sinners,29,256743,114.46,0.81,0.56,-6.28,0.05,0,0.09,0.23,0.69,,,,,
Jackyl,25,223865,111.85,0.89,0.57,-3.83,0.09,0.06,0.03,0.2,0.6,,,,,
Jaco Pastorius,23,339531,116.55,0.63,0.54,-12.35,0.04,0.8,0.42,0.11,0.59,,,,,
Jacob Bryant,36,221467,128.25,0.78,0.51,-5.52,0.05,0,0.07,0.34,0.37,,,,,
Jacob Karlzon,21,164906,104.34,0.04,0.46,-29.66,0.05,0.93,0.92,0.1,0.19,,,,,
Jacob Miller,29,213240,118.65,0.52,0.77,-9.54,0.16,0.01,0.18,0.15,0.81,,,,,
Jacob Montague,30,193349,95.73,0.23,0.45,-18.33,0.04,0.95,0.74,0.09,0.18,,,,,
Jacob Tillberg,44,207298,123,0.8,0.64,-4.71,0.1,0.08,0.19,0.2,0.33,,,,,
Jacob's Piano,31,244008,107.24,0.1,0.35,-21.48,0.04,0.91,0.97,0.1,0.12,,,,,
Jacoo,28,253284,124.8,0.52,0.69,-12.01,0.06,0.79,0.43,0.12,0.23,,,,,
Jacquees,56,227431,122.5,0.56,0.64,-7.77,0.09,0,0.12,0.17,0.33,,,,,
Jacques Brel,24,192676,82.1,0.57,0.45,-5.68,0.09,0,0.68,0.19,0.56,,,,,
Jacques Greene,29,250539,127.08,0.65,0.56,-9.28,0.04,0.78,0.24,0.14,0.25,,,,,
Jacques Offenbach,24,270263,99.4,0.16,0.25,-20.18,0.06,0.54,0.91,0.17,0.25,,,,,
Jacques Renault,32,406547,112.37,0.73,0.73,-8.96,0.07,0.66,0.03,0.43,0.8,,,,,
Jacuzzi Boys,23,165358,128.87,0.78,0.45,-6.13,0.04,0.12,0.02,0.18,0.69,,,,,
Jada Kingdom,30,175037,110.48,0.64,0.73,-6.46,0.18,0,0.33,0.18,0.49,,,,,
Jadakiss,27,221413,113.57,0.81,0.61,-4.94,0.31,0,0.1,0.23,0.57,,,,,
Jade Blue,25,307568,126.02,0.73,0.75,-8.13,0.04,0.63,0,0.1,0.06,,,,,
Jade Eagleson,47,187180,154.05,0.84,0.55,-4.67,0.04,0,0.08,0.25,0.65,,,,,
JADED,35,197011,125.71,0.87,0.75,-5.96,0.07,0.33,0.03,0.18,0.54,,,,,
Jaded Juice Riders,29,151952,120.88,0.79,0.43,-8.4,0.04,0.53,0.04,0.26,0.56,,,,,
Jaden,57,260181,118.06,0.71,0.6,-6.51,0.1,0.06,0.18,0.19,0.36,,,,,
Jadon Lavik,42,234259,109.42,0.35,0.49,-10.52,0.03,0,0.58,0.17,0.37,,,,,
Jadu Heart,45,236546,118.5,0.7,0.51,-7.33,0.05,0.22,0.2,0.29,0.35,,,,,
JADY'S BIRTHDAY,39,90221,100.63,0.51,0.84,-7.75,0.18,0,0.35,0.12,0.47,,,,,
Jae Millz,33,226910,104.8,0.55,0.56,-9.83,0.34,0,0.05,0.28,0.49,,,,,
Jae Prynse,25,205293,111.76,0.72,0.59,-5.78,0.28,0,0.32,0.13,0.55,,,,,
Jaeden Camstra,45,85126,119.85,0.54,0.73,-9.27,0.21,0.38,0.58,0.26,0.6,,,,,
Jae-P,32,225073,121.04,0.73,0.76,-5.41,0.16,0,0.19,0.21,0.74,,,,,
Jaëss,37,339081,150.54,0.96,0.55,-7.34,0.17,0.58,0,0.26,0.34,,,,,
Jafrass,23,189641,98.56,0.64,0.64,-6.55,0.19,0,0.39,0.1,0.4,,,,,
Jafu,27,219194,132.59,0.41,0.79,-13.59,0.16,0.89,0.17,0.21,0.18,,,,,
Jagged Edge,27,240639,114.46,0.63,0.69,-6.87,0.12,0,0.27,0.17,0.64,,,,,
Jaguar Wright,27,272474,97.95,0.51,0.7,-8.76,0.16,0,0.26,0.14,0.56,,,,,
Jaguares,40,241605,131.89,0.66,0.57,-7,0.03,0,0.26,0.23,0.48,,,,,
Jah Cure,48,218571,148.39,0.58,0.59,-6.27,0.24,0,0.31,0.12,0.55,,,,,
Jah Melodie,21,239247,94.5,0.51,0.79,-9.89,0.07,0,0.08,0.25,0.6,,,,,
Jah Vinci,24,192394,115.38,0.69,0.61,-5.85,0.21,0,0.22,0.22,0.54,,,,,
Jah Wobble,24,232725,99,0.57,0.69,-8.33,0.19,0.86,0.02,0.11,0.44,,,,,
Jaheim,28,233584,108.15,0.58,0.62,-7.12,0.17,0,0.23,0.18,0.53,,,,,
JAHKOY,39,178759,105.74,0.55,0.57,-8,0.22,0,0.4,0.14,0.37,,,,,
Jahllano,22,172983,104.85,0.7,0.63,-5.6,0.31,0,0.44,0.17,0.5,,,,,
jahmiel,28,168249,116.32,0.59,0.67,-6.73,0.22,0,0.33,0.13,0.44,,,,,
Jahshii,30,190196,114.43,0.63,0.67,-6.64,0.22,0,0.41,0.21,0.47,,,,,
Jahtari Riddim Force,19,218004,129.91,0.56,0.87,-9,0.06,0.69,0.01,0.27,0.92,,,,,
Jahvillani,24,180772,108.51,0.65,0.7,-5.7,0.27,0,0.33,0.17,0.49,,,,,
Jahyanai,37,173653,113.91,0.66,0.78,-5.41,0.11,0.07,0.37,0.19,0.65,,,,,
Jai Wolf,42,248738,121.73,0.74,0.52,-5.74,0.04,0.17,0.05,0.16,0.26,,,,,
Jaime Guardia,23,167466,122.82,0.36,0.55,-13.97,0.12,0.66,0.85,0.09,0.84,,,,,
Jaime Torres,18,246580,113.51,0.42,0.64,-11.94,0.03,0.41,0.49,0.09,0.35,,,,,
Jaimeson,29,302604,147,0.83,0.64,-7.2,0.04,0.33,0,0.21,0.76,,,,,
Jaira Burns,45,184416,107.02,0.65,0.69,-6.64,0.07,0,0.14,0.15,0.47,,,,,
Jairo Vera,46,179758,93.66,0.61,0.76,-7.59,0.11,0,0.06,0.13,0.5,,,,,
Jaisua,28,173586,125.74,0.58,0.59,-9.76,0.04,0.25,0.05,0.17,0.28,,,,,
Jakarta Flames,22,194333,95.76,0.91,0.22,-3.21,0.05,0,0,0.4,0.41,,,,,
Jakatta,29,317862,124.31,0.71,0.71,-8.07,0.04,0.52,0.07,0.13,0.51,,,,,
Jake Banfield,31,186947,112.63,0.37,0.6,-8.19,0.05,0,0.63,0.12,0.26,,,,,
Jake Bugg,56,191536,124.04,0.68,0.49,-6.52,0.05,0,0.21,0.11,0.58,,,,,
Jake Cornell,37,149699,123.7,0.51,0.6,-8.19,0.15,0,0.41,0.27,0.53,,,,,
Jake Hess,22,158754,122.56,0.69,0.69,-10.29,0.09,0,0.58,0.96,0.69,,,,,
Jake Miller,45,190499,118.59,0.67,0.68,-6.52,0.08,0,0.19,0.12,0.51,,,,,
Jake Owen,35,204735,127.31,0.78,0.56,-4.92,0.04,0,0.21,0.17,0.55,,,,,
Jake Scott,51,208877,110.1,0.47,0.67,-9.64,0.08,0,0.33,0.19,0.46,,,,,
Jake Xerxes Fussell,44,252365,115.84,0.33,0.48,-12.8,0.03,0.55,0.8,0.11,0.34,,,,,
Jakes,22,254413,137.73,0.59,0.61,-9.02,0.08,0.8,0.01,0.45,0.06,,,,,
Jakka-B,17,203313,168.28,0.73,0.45,-4.64,0.05,0,0.05,0.29,0.25,,,,,
Jakob,50,147321,113.65,0.49,0.55,-9.3,0.06,0.17,0.45,0.18,0.4,,,,,
Jakob Bro,30,294840,107.87,0.07,0.44,-25.1,0.04,0.86,0.87,0.12,0.27,,,,,
Jaksi Taksi,36,218320,180.22,0.93,0.32,-7.12,0.1,0,0,0.14,0.36,,,,,
Jakwob,30,249336,143.28,0.73,0.57,-5.24,0.09,0.3,0.08,0.13,0.17,,,,,
Jam & Spoon,32,260099,128.84,0.86,0.59,-7.67,0.04,0.45,0.02,0.27,0.19,,,,,
Jam City,21,227485,111.84,0.59,0.55,-9.43,0.12,0.52,0.22,0.18,0.42,,,,,
Jamelia,46,208500,111.05,0.76,0.62,-6.26,0.12,0.01,0.23,0.3,0.74,,,,,
James & Bobby Purify,28,152539,115.07,0.48,0.65,-8.58,0.03,0,0.37,0.36,0.75,,,,,
James & Daniella,22,488152,132.35,0.47,0.48,-8.72,0.04,0,0.24,0.11,0.25,,,,,
James Armstrong,29,234187,122.45,0.57,0.74,-8.65,0.04,0.01,0.13,0.15,0.5,,,,,
James Arthur,71,225640,131.86,0.56,0.47,-6.68,0.06,0,0.38,0.14,0.32,,,,,
James Barker Band,44,198262,122.17,0.79,0.61,-5.03,0.04,0,0.06,0.15,0.61,,,,,
James Bartholomew,18,159962,144.61,0.18,0.39,-18.65,0.1,0.85,0.93,0.11,0.27,,,,,
James Bay,56,223585,125.19,0.5,0.57,-7.15,0.05,0,0.47,0.25,0.4,,,,,
